country,suicides_no,population
Albania,164.16666666666666,5193788.916666668
Antigua and Barbuda,0.9166666666666667,171243.25
Argentina,7821.833333333333,99186477.58333333
Armenia,201.83333333333334,8153696.583333333
Australia,6689.916666666668,52128223.83333333
Austria,5014.916666666666,23353734.500000004
Azerbaijan,280.49999999999994,12745750.0
Bahamas,8.916666666666664,609029.0
Bahrain,38.583333333333336,1396160.5000000002
Barbados,17.083333333333332,632565.9166666667
Belarus,6247.833333333333,21796549.33333333
Belgium,6328.999999999998,29899351.75000001
Belize,29.333333333333336,566859.5833333334
Bolivia,4.5,0.0
Bosnia and Herzegovina,299.25,2970015.0833333335
Brazil,20902.000000000004,458886645.6666667
British Virgin Islands,0.6666666666666666,0.0
Brunei Darussalam,10.25,553360.6666666667
Bulgaria,3572.3333333333335,22774596.500000004
Cabo Verde,3.5,37681.583333333336
Canada,10698.499999999998,80151481.91666667
Cayman Islands,1.583333333333333,2450.0
Chile,3677.1666666666665,39893094.25
Colombia,4511.333333333334,94372280.50000001
Costa Rica,612.1666666666667,9365165.666666668
Croatia,2449.999999999999,11396932.583333334
Cuba,3451.4999999999995,20982511.08333333
Cyprus,34.33333333333333,974928.3333333334
Czech Republic,4305.333333333332,25327327.416666668
Denmark,1274.75,9348518.250000002
Dominica,4.5,31808.333333333332
Dominican Republic,442.6666666666667,0.0
Ecuador,1882.9166666666663,32208161.749999993
Egypt,100.49999999999999,99116945.66666666
El Salvador,1155.4166666666667,11787935.916666668
Estonia,1055.9166666666663,3670966.333333334
Falkland Islands (Malvinas),0.08333333333333333,0.0
Fiji,25.333333333333336,682282.5833333333
Finland,2806.4166666666656,11827138.166666668
France,24590.527777777774,117571139.52777779
Georgia,414.24999999999994,10607433.333333332
Germany,24271.833333333336,168739634.33333334
Greece,1198.75,30850900.416666653
Grenada,3.1666666666666665,197143.8333333333
Guadeloupe,48.58333333333333,535387.5
Guatemala,700.2499999999998,27470614.16666667
Guyana,286.5,1511390.75
Haiti,2.3333333333333335,0.0
Honduras,89.33333333333333,0.0
Hong Kong,2474.25,18293158.333333332
Hungary,10834.833333333332,30730988.999999996
Iceland,102.49999999999999,775650.9166666665
Iran,608.25,17878973.75
Iraq,0.25,0.0
Ireland,1163.3333333333333,10638107.166666668
Israel,1055.25,16175124.0
Italy,13089.500000000004,169680817.0
Jamaica,16.5,4098552.3333333344
Japan,78134.5,361682037.00000006
Jordan,7.25,0.0
Kazakhstan,10262.583333333332,39647680.74999999
Kiribati,4.416666666666667,61800.49999999999
Kuwait,84.41666666666669,5393424.250000001
Kyrgyzstan,1369.6666666666672,11613215.583333332
Latvia,2071.75,6744611.666666665
Lithuania,3513.833333333334,9035142.833333334
Luxembourg,197.25000000000006,1251238.0
Macau,2.25,28878.5
Malaysia,78.24999999999999,0.0
Maldives,1.6666666666666667,241687.1666666667
Malta,48.91666666666667,1083350.25
Martinique,44.83333333333333,505238.3333333334
Mauritius,272.0416666666667,2524544.5833333335
Mayotte,0.49999999999999994,62840.66666666667
Mexico,9789.916666666666,261178159.6666667
Moldova,1870.5833333333328,10202371.416666668
Monaco,1.4166666666666665,0.0
Mongolia,37.5,224847.0
Montenegro,39.333333333333336,486238.5833333334
Morocco,55.333333333333336,0.0
Netherlands,2978.638888888888,33822511.08333333
New Zealand,1370.5833333333335,10054427.5
Nicaragua,634.4166666666665,2645219.416666667
North Macedonia,289.74999999999994,3602464.2500000005
Norway,1416.0000000000002,10664423.916666666
Oman,2.75,748923.9166666666
Palestinian Territories,4.833333333333333,0.0
Panama,307.58333333333337,6724129.916666666
Paraguay,423.49999999999994,11780743.666666668
Peru,642.5833333333331,0.0
Philippines,1777.4999999999998,88755681.58333333
Poland,14380.166666666664,92046677.41666669
Portugal,2367.7499999999995,25582443.000000007
Qatar,48.00000000000001,1841440.4166666667
Romania,6066.083333333332,48097070.08333333
Russia,125082.66666666663,383980343.33333325
Saint Kitts and Nevis,2.0833333333333326,9775.0
Saint Lucia,20.333333333333332,359977.3333333333
Saint Pierre and Miquelon,0.41666666666666663,0.0
Saint Vincent and Grenadines,10.333333333333332,225353.6666666667
San Marino,2.1666666666666665,14686.66666666667
Sao Tome and Principe,0.3333333333333333,22125.0
Saudi Arabia,11.25,0.0
Serbia,2014.9166666666667,10511678.166666668
Seychelles,8.166666666666666,116068.00000000001
Singapore,959.1666666666665,8981561.75
Slovakia,1119.7500000000002,9319476.083333336
Slovenia,1400.4166666666667,4914768.249999999
South Africa,610.0833333333333,72760896.83333334
South Korea,21810.83333333333,112912077.99999999
Spain,9174.749999999998,116917299.58333334
Sri Lanka,6728.916666666667,20734218.833333336
Suriname,207.66666666666666,1101848.25
Sweden,3150.0,21202093.5
Switzerland,2184.7499999999995,12499500.833333334
Syria,34.74999999999999,0.0
Tajikistan,397.74999999999994,0.0
Thailand,10824.916666666666,153947342.58333334
Trinidad and Tobago,370.5833333333333,3103823.9999999995
Tunisia,2.6666666666666665,0.0
Turkey,844.25,40220048.5
Turkmenistan,803.6666666666667,10511443.166666666
Turks and Caicos Islands,0.49999999999999994,0.0
Ukraine,30430.83333333333,122842440.3333334
United Arab Emirates,51.833333333333336,3041856.2500000005
United Kingdom,4870.263888888889,166873804.87499997
United States,41989.013888888905,325487676.6527778
Uruguay,1220.5833333333335,8121553.583333332
Uzbekistan,3671.9166666666665,49549127.66666667
Venezuela,2458.666666666667,53363290.5
Zimbabwe,63.666666666666664,0.0
